ano;sigla_uf;id_municipio;numero_obitos
1996;CE;2302305;85
1996;CE;2302404;77
1996;CE;2302503;110
1996;CE;2302602;64
1996;CE;2302701;133
1996;CE;2302800;238
1996;CE;2302909;28
1996;CE;2303006;10
1996;CE;2303105;53
1996;CE;2303204;46
1996;CE;2303303;39
1996;CE;2303402;81
1996;CE;2303501;174
1996;CE;2303600;32
1996;CE;2303659;38
1996;CE;2303709;655
1996;CE;2303808;158
1996;CE;2303907;59
1996;CE;2303931;18
1996;CE;2303956;70
1996;CE;2304004;86
1996;CE;2304103;180
1996;CE;2304202;341
1996;CE;2304236;102
1996;CE;2304251;32
1996;CE;2304269;21
1996;CE;2304277;24
1996;CE;2304285;31
1996;CE;2304301;43
1996;CE;2304350;81
1996;CE;2304400;11294
1996;CE;2304459;42
1996;CE;2304509;31
1996;CE;2304608;6
1996;CE;2304657;16
1996;CE;2304707;36
1996;CE;2304806;12
1996;CE;2304905;28
1996;CE;2304954;22
1996;CE;2305001;142
1996;CE;2305100;18
1996;CE;2305209;17
1996;CE;2305233;116
1996;CE;2305266;31
1996;CE;2305308;111
1996;CE;2305332;16
1996;CE;2305357;89
1996;CE;2305407;156
1996;CE;2305506;414
1996;CE;2305605;108
1996;CE;2305654;67
1996;CE;2305704;70
1996;CE;2305803;164
1996;CE;2305902;209
1996;CE;2306009;63
1996;CE;2306108;63
1996;CE;2306207;19
1996;CE;2306256;65
1996;CE;2306306;223
1996;CE;2306405;338
1996;CE;2306504;63
1996;CE;2306553;102
1996;CE;2306603;41
1996;CE;2306702;76
1996;CE;2306801;32
1996;CE;2306900;109
1996;CE;2307007;77
1996;CE;2307106;95
1996;CE;2307205;10
1996;CE;2307254;14
1996;CE;2307304;1039
1996;CE;2307403;82
1996;CE;2307502;174
1996;CE;2307601;216
1996;CE;2307635;18
1996;CE;2307650;352
1996;CE;2307700;477
1996;CE;2307809;89
1996;CE;2307908;30
1996;CE;2308005;93
1996;CE;2308104;159
1996;CE;2308203;70
1996;CE;2308302;79
1996;CE;2308351;41
1996;CE;2308377;36
1996;CE;2308401;134
1996;CE;2308500;253
1996;CE;2308609;17
1996;CE;2308708;223
1996;CE;2308807;21
1996;CE;2308906;62
1996;CE;2309003;29
1996;CE;2309102;5
1996;CE;2309201;48
1996;CE;2309300;42
1996;CE;2309409;165
1996;CE;2309458;26
1996;CE;2309508;134
1996;CE;2309607;64
1996;CE;2309706;48
1996;CE;2309805;57
1996;CE;2309904;13
1996;CE;2310001;39
1996;CE;2310100;48
1996;CE;2310209;99
1996;CE;2310258;72
1996;CE;2310308;147
1996;CE;2310407;47
1996;CE;2310506;110
1996;CE;2310605;12
1996;CE;2310704;43
1996;CE;2310803;66
1996;CE;2310852;74
1996;CE;2310902;45
1996;CE;2310951;42
1996;CE;2311009;7
1996;CE;2311108;49
1996;CE;2311207;38
1996;CE;2311231;12
1996;CE;2311264;47
1996;CE;2311306;279
1996;CE;2311355;52
1996;CE;2311405;234
1996;CE;2311504;14
1996;CE;2311603;114
1996;CE;2311702;55
1996;CE;2311801;228
1996;CE;2311900;50
1996;CE;2311959;27
1996;CE;2312007;100
1996;CE;2312106;16
1996;CE;2312205;129
1996;CE;2312304;192
1996;CE;2312403;50
1996;CE;2312502;48
1996;CE;2312601;18
1996;CE;2312700;137
1996;CE;2312809;25
1996;CE;2312908;613
1996;CE;2313005;36
1996;CE;2313104;125
1996;CE;2313203;91
1996;CE;2313252;13
1996;CE;2313302;197
1996;CE;2313351;25
1996;CE;2313401;200
1996;CE;2313500;42
1996;CE;2313559;59
1996;CE;2313609;101
1996;CE;2313708;38
1996;CE;2313757;43
1996;CE;2313807;130
1996;CE;2313906;45
1996;CE;2313955;53
1996;CE;2314003;169
1996;CE;2314102;263
1996;ES;3200000;429
1996;ES;3200102;236
1996;ES;3200136;25
1996;ES;3200169;30
1996;ES;3200201;193
1996;ES;3200300;65
1996;ES;3200359;37
1996;ES;3200409;78
1996;ES;3200508;50
1996;ES;3200607;295
1996;ES;3200706;50
1996;ES;3200805;181
1996;ES;3200904;217
1996;ES;3201001;60
1996;ES;3201100;66
1996;ES;3201209;959
1996;ES;3201308;1818
1996;ES;3201407;160
1996;ES;3201506;668
1996;ES;3201605;113
1996;ES;3201704;55
1996;ES;3201803;23
1996;ES;3201902;175
1996;ES;3202009;18
1996;ES;3202108;97
1996;ES;3202207;69
1996;ES;3202306;191
1996;ES;3202405;431
1996;ES;3202454;103
1996;ES;3202504;53
1996;ES;3202553;48
1996;ES;3202603;64
1996;ES;3202652;43
1996;ES;3202702;86
1996;ES;3202801;263
1996;ES;3202900;64
1996;ES;3203007;186
1996;ES;3203056;96
1996;ES;3203106;71
1996;ES;3203130;87
1996;ES;3203163;42
1996;ES;3203205;633
1996;ES;3203304;83
1996;ES;3203346;55
1996;ES;3203353;62
1996;ES;3203403;165
1996;ES;3203502;125
1996;ES;3203601;19
1996;ES;3203700;129
1996;ES;3203809;104
1996;ES;3203908;225
1996;ES;3204005;128
1996;ES;3204054;174
1996;ES;3204104;127
1996;ES;3204203;42
1996;ES;3204302;54
1996;ES;3204351;59
1996;ES;3204401;68
1996;ES;3204500;69
1996;ES;3204559;134
1996;ES;3204609;140
1996;ES;3204658;38
1996;ES;3204708;167
1996;ES;3204807;87
1996;ES;3204906;380
1996;ES;3205002;1343
1996;ES;3205036;69
1996;ES;3205069;80
1996;ES;3205101;279
1996;ES;3205150;34
1996;ES;3205200;1905
1996;ES;3205309;1776
1996;DF;5300108;8224
1996;MA;2100000;98
1996;MA;2100055;281
1996;MA;2100204;5
1996;MA;2100303;38
1996;MA;2100402;6
1996;MA;2100501;1
1996;MA;2100600;33
1996;MA;2100709;9
1996;MA;2100808;23
1996;MA;2100907;79
1996;MA;2100956;5
1996;MA;2101004;43
1996;MA;2101103;28
1996;MA;2101202;182
1996;MA;2101301;2
1996;MA;2101400;103
1996;MA;2101509;58
1996;MA;2101608;184
1996;MA;2101707;101
1996;MA;2101806;1
1996;MA;2101905;5
1996;MA;2102002;80
1996;MA;2102101;79
1996;MA;2102200;31
1996;MA;2102309;26
1996;MA;2102408;3
1996;MA;2102507;4
1996;MA;2102606;50
1996;MA;2102705;11
1996;MA;2102804;3
1996;MA;2102903;15
1996;MA;2103000;445
1996;MA;2103109;11
1996;MA;2103208;126
1996;MA;2103307;344
1996;MA;2103406;38
1996;MA;2103505;137
1996;MA;2103604;175
1996;MA;2103703;83
1996;MA;2103802;43
1996;MA;2103901;23
1996;MA;2104008;75
1996;MA;2104057;9
1996;MA;2104107;27
1996;MA;2104206;41
1996;MA;2104305;10
1996;MA;2104404;4
1996;MA;2104503;1
1996;MA;2104602;21
1996;MA;2104701;11
1996;MA;2104800;104
